(368, 1, 550, 543, 350, 2, 820)
(33, 413, 893, 405, 90, 405, 326)
(400, 595, 420, 125, 32, 820, 920)
(405, 845, 686, 740, 793, 3, 233)
(405, 61, 527, 555, 233, 235, 806)
(31, 840, 140, 740, 101, 2, 365)
(740, 617, 550, 61, 435, 93, 740)
(740, 798, 405, 590, 33, 706, 806)
(740, 388, 231, 240, 798, 1, 820)
(817, 740, 740, 760, 1, 741, 390)
(842, 871, 192, 740, 482, 60, 692)
(621, 740, 798, 838, 741, 92, 850)
(874, 543, 350, 1, 741, 794, 324)
(740, 405, 590, 220, 3, 2, 861)
(740, 407, 590, 31, 752, 33, 705)
(407, 32, 520, 95, 585, 17, 231)
(400, 740, 920, 320, 233, 240, 798)
(390, 128, 701, 2, 32, 2, 1)
(740, 100, 415, 904, 17, 32, 820)
(520, 72, 233, 740, 798, 2, 861)
(740, 100, 176, 838, 1, 220, 455)
(390, 840, 233, 240, 744, 33, 272)
(520, 33, 705, 233, 240, 2, 610)
(100, 904, 717, 220, 415, 806, 742)
(154, 806, 471, 407, 845, 740, 233)
(527, 550, 33, 706, 220, 415, 798)
(97, 159, 33, 705, 717, 220, 415)
(390, 600, 617, 2, 190, 125, 632)
(90, 740, 100, 320, 1, 300, 632)
(158, 806, 468, 740, 752, 231, 235)
(740, 176, 33, 705, 240, 235, 803)
(494, 615, 179, 100, 1, 33, 426)
(520, 33, 705, 220, 231, 72, 2)
(450, 617, 33, 460, 510, 741, 252)
(740, 388, 235, 240, 798, 2, 861)
(405, 32, 520, 95, 585, 17, 231)
(740, 585, 17, 2, 611, 615, 703)
(740, 900, 3, 806, 33, 705, 235)
(32, 31, 32, 530, 740, 741, 456)
(740, 760, 1, 240, 742, 530, 786)
(520, 33, 705, 233, 235, 60, 820)
(690, 518, 740, 176, 742, 60, 920)
(97, 520, 33, 705, 717, 220, 415)
(740, 440, 220, 32, 741, 390, 590)
(842, 871, 192, 368, 482, 60, 692)
(740, 336, 176, 2, 405, 372, 374)
(740, 760, 440, 240, 220, 2, 861)
(405, 32, 900, 3, 70, 2, 233)
(740, 460, 503, 31, 2, 900, 615)
(740, 405, 590, 235, 2, 31, 480)
(842, 374, 125, 803, 60, 692, 740)
(740, 900, 790, 233, 798, 1, 820)
(740, 760, 335, 220, 32, 2, 820)
(90, 740, 792, 740, 220, 3, 803)
(90, 740, 100, 220, 32, 741, 361)
(244, 740, 879, 220, 416, 803, 2)
(167, 705, 368, 5, 741, 60, 920)
(407, 585, 33, 705, 233, 235, 806)
(760, 31, 2, 861, 791, 440, 717)
(422, 3, 900, 740, 690, 435, 255)
(400, 892, 81, 518, 1, 31, 250)
(740, 861, 32, 233, 803, 2, 820)
(407, 4, 1, 740, 443, 388, 140)
(400, 740, 636, 240, 31, 32, 171)
(390, 95, 909, 5, 825, 776, 220)
(740, 798, 460, 350, 742, 706, 32)
(871, 740, 740, 798, 460, 350, 2)
(740, 384, 90, 351, 741, 33, 272)
(154, 806, 469, 1, 740, 877, 32)
(36, 269, 140, 2, 741, 60, 920)
(409, 61, 740, 235, 220, 31, 2)
(416, 1, 740, 720, 175, 2, 861)
(740, 100, 240, 235, 741, 175, 132)
(740, 32, 923, 382, 233, 2, 111)
(617, 142, 1, 595, 95, 717, 746)
(740, 760, 72, 921, 32, 2, 820)
(740, 55, 220, 32, 798, 2, 820)
(740, 100, 806, 472, 240, 806, 1)
(740, 760, 70, 255, 832, 240, 2)
(407, 321, 407, 845, 33, 705, 235)
(617, 831, 2, 1, 302, 840, 32)
(90, 740, 220, 16, 2, 297, 190)
(920, 706, 193, 384, 32, 920, 140)
(679, 740, 220, 415, 1, 820, 812)
(605, 740, 142, 67, 374, 310, 350)
(871, 947, 740, 543, 350, 895, 785)
(527, 550, 240, 220, 255, 812, 906)
(390, 844, 140, 176, 803, 2, 301)
(740, 585, 17, 240, 2, 305, 32)
(740, 798, 460, 350, 235, 741, 390)
(740, 798, 231, 2, 298, 460, 32)
(705, 240, 235, 1, 2, 204, 346)
(527, 555, 55, 233, 235, 741, 831)
(740, 585, 17, 33, 705, 240, 798)
(842, 32, 31, 592, 31, 60, 920)
(740, 900, 850, 407, 61, 845, 806)
(740, 729, 407, 845, 236, 2, 906)
(798, 821, 1, 480, 850, 820, 388)
(520, 70, 220, 32, 240, 838, 741)
(156, 176, 518, 220, 416, 2, 615)
(740, 585, 17, 33, 705, 233, 798)
(856, 260, 832, 390, 590, 2, 817)
(408, 32, 520, 95, 585, 17, 220)
(595, 820, 100, 415, 741, 315, 850)
(740, 877, 32, 235, 60, 550, 611)
(740, 460, 510, 235, 220, 32, 2)
(90, 740, 32, 840, 741, 572, 683)
(368, 821, 55, 31, 2, 31, 892)
(520, 33, 705, 231, 2, 820, 700)
(740, 923, 406, 61, 70, 32, 741)
(90, 740, 220, 3, 741, 252, 530)
(127, 381, 292, 590, 32, 901, 620)
(406, 371, 220, 415, 803, 742, 920)
(740, 636, 240, 233, 235, 2, 405)
