(740, 390, 590, 231, 240, 235, 745, 60, 920)
(740, 617, 550, 61, 435, 93, 740, 100, 415)
(520, 33, 705, 220, 231, 72, 2, 270, 633)
(520, 33, 706, 235, 798, 803, 2, 31, 892)
(740, 390, 590, 233, 220, 415, 798, 838, 2)
(605, 740, 142, 67, 374, 310, 350, 495, 834)
(740, 176, 690, 435, 255, 220, 32, 806, 60)
(409, 61, 740, 235, 220, 31, 2, 861, 244)
(798, 821, 1, 480, 850, 820, 388, 611, 820)
(953, 817, 390, 125, 308, 809, 740, 760, 706)
(527, 550, 240, 220, 32, 2, 300, 350, 600)
(405, 61, 70, 32, 33, 706, 235, 806, 2)
(151, 337, 484, 2, 390, 125, 632, 32, 900)
(405, 61, 33, 706, 794, 630, 220, 2, 820)
(390, 128, 701, 2, 32, 2, 1, 480, 850)
(204, 630, 233, 832, 904, 794, 630, 235, 60)
(90, 326, 700, 920, 125, 1, 55, 920, 140)
(405, 845, 686, 740, 793, 3, 233, 805, 2)
(565, 740, 798, 235, 233, 1, 2, 269, 632)
(520, 70, 220, 32, 240, 838, 741, 958, 220)
(354, 1, 740, 405, 590, 33, 706, 2, 690)
(740, 636, 240, 233, 235, 2, 405, 125, 820)
(740, 405, 590, 220, 235, 803, 2, 388, 385)
(740, 55, 240, 235, 806, 2, 220, 455, 503)
(740, 100, 176, 838, 1, 220, 455, 530, 741)
(842, 871, 192, 368, 482, 60, 692, 520, 220)
(215, 31, 480, 140, 632, 705, 2, 93, 33)
(740, 690, 435, 255, 803, 220, 240, 235, 2)
(740, 690, 435, 255, 220, 32, 2, 717, 820)
(856, 260, 832, 390, 590, 2, 817, 690, 544)
(125, 435, 255, 2, 286, 220, 31, 12, 31)
(921, 100, 415, 904, 17, 32, 820, 740, 904)
(740, 585, 17, 740, 240, 2, 817, 90, 370)
(740, 585, 17, 33, 705, 240, 798, 2, 820)
(679, 740, 220, 415, 1, 820, 812, 820, 140)
(400, 740, 575, 17, 920, 320, 798, 2, 861)
(842, 871, 192, 740, 482, 60, 692, 520, 220)
(871, 740, 637, 798, 460, 350, 2, 374, 575)
(740, 405, 590, 32, 900, 3, 806, 235, 220)
(740, 390, 590, 904, 220, 32, 803, 1, 904)
(842, 374, 740, 803, 60, 692, 740, 690, 435)
(740, 32, 840, 233, 220, 32, 60, 825, 2)
(740, 100, 415, 904, 17, 32, 820, 740, 904)
(390, 128, 701, 226, 32, 2, 1, 480, 850)
(520, 33, 705, 220, 32, 72, 2, 270, 633)
(407, 845, 140, 740, 233, 240, 798, 365, 263)
(740, 690, 435, 255, 240, 235, 745, 60, 920)
(740, 794, 630, 220, 32, 2, 368, 906, 329)
(740, 407, 590, 690, 436, 255, 920, 318, 220)
(871, 740, 740, 798, 460, 350, 2, 374, 575)
(740, 760, 175, 176, 220, 415, 798, 2, 299)
(740, 752, 6, 503, 236, 806, 2, 31, 502)
(90, 740, 100, 415, 2, 31, 350, 550, 692)
(740, 690, 435, 255, 2, 368, 861, 590, 32)
(871, 947, 740, 543, 350, 895, 785, 220, 335)
(409, 32, 845, 33, 705, 231, 806, 2, 595)
(520, 33, 705, 233, 240, 2, 610, 125, 32)
(740, 585, 17, 33, 706, 803, 2, 220, 455)
(520, 70, 219, 2, 861, 32, 520, 919, 140)
(31, 840, 140, 740, 101, 2, 365, 287, 33)
(605, 740, 142, 2, 374, 310, 350, 495, 834)
(842, 535, 99, 740, 483, 60, 692, 520, 220)
(215, 1, 480, 306, 813, 33, 60, 413, 346)
(740, 400, 142, 61, 2, 798, 435, 255, 705)
(740, 760, 615, 104, 717, 235, 2, 392, 590)
(740, 760, 33, 33, 220, 415, 798, 2, 861)
(817, 220, 632, 66, 740, 760, 26, 60, 257)
(740, 877, 32, 33, 705, 231, 235, 2, 861)
(740, 482, 55, 220, 415, 798, 803, 742, 617)
(953, 817, 390, 125, 308, 809, 33, 760, 706)
(740, 390, 590, 233, 2, 368, 202, 892, 371)
(740, 904, 32, 220, 415, 235, 803, 2, 504)
(740, 760, 70, 255, 832, 240, 2, 595, 504)
(842, 374, 125, 803, 60, 692, 740, 690, 435)
(679, 740, 220, 32, 806, 1, 595, 575, 1)
(871, 400, 740, 543, 350, 895, 785, 220, 335)
(298, 465, 33, 705, 231, 2, 564, 617, 33)
(740, 923, 70, 32, 33, 706, 231, 242, 2)
(740, 100, 798, 220, 32, 2, 861, 255, 416)
(90, 740, 220, 16, 2, 297, 190, 900, 140)
(31, 850, 140, 236, 220, 32, 803, 2, 820)
(527, 555, 740, 55, 240, 415, 798, 60, 201)
(740, 407, 590, 31, 752, 33, 705, 220, 415)
(740, 388, 807, 33, 706, 233, 235, 168, 32)
(405, 61, 527, 555, 233, 235, 806, 2, 817)
(740, 690, 435, 255, 220, 32, 240, 235, 2)
(407, 845, 140, 740, 101, 923, 240, 2, 861)
(154, 806, 471, 407, 845, 740, 233, 231, 798)
(740, 690, 435, 255, 240, 220, 415, 806, 742)
(842, 535, 99, 4, 483, 60, 692, 520, 220)
(740, 585, 17, 33, 705, 233, 798, 803, 2)
