(740, 575, 17, 220, 415, 803)
(156, 176, 518, 220, 416, 2)
(2, 4, 328, 1, 803, 415)
(740, 405, 590, 220, 235, 803)
(740, 100, 176, 840, 13, 2)
(740, 267, 811, 832, 60, 692)
(390, 844, 140, 176, 803, 2)
(740, 585, 231, 240, 60, 820)
(742, 406, 482, 235, 1, 480)
(740, 565, 233, 2, 940, 260)
(700, 33, 151, 706, 31, 2)
(740, 773, 33, 705, 233, 803)
(368, 1, 740, 543, 350, 2)
(90, 740, 233, 60, 368, 817)
(520, 240, 31, 1, 740, 121)
(760, 31, 2, 861, 791, 440)
(740, 773, 240, 2, 861, 31)
(740, 773, 240, 2, 900, 3)
(740, 838, 741, 390, 900, 140)
(400, 740, 904, 798, 460, 350)
(90, 740, 220, 3, 741, 252)
(740, 690, 435, 255, 1, 60)
(244, 165, 879, 220, 416, 803)
(232, 740, 176, 745, 440, 617)
(32, 31, 32, 530, 740, 741)
(740, 100, 415, 176, 792, 102)
(740, 390, 590, 904, 220, 32)
(920, 706, 193, 384, 32, 920)
(390, 4, 2, 390, 125, 820)
(740, 100, 798, 220, 32, 2)
(416, 1, 565, 740, 220, 32)
(740, 760, 72, 921, 32, 2)
(817, 521, 521, 740, 221, 2)
(740, 140, 2, 741, 60, 920)
(400, 595, 420, 125, 32, 820)
(740, 752, 1, 595, 204, 920)
(740, 760, 268, 2, 840, 32)
(520, 33, 705, 220, 32, 72)
(740, 840, 13, 31, 2, 817)
(90, 740, 220, 16, 2, 820)
(953, 817, 390, 125, 308, 809)
(440, 411, 740, 335, 2, 285)
(520, 233, 240, 235, 741, 360)
(289, 350, 761, 32, 60, 572)
(740, 32, 55, 1, 407, 4)
(740, 390, 590, 235, 368, 806)
(740, 760, 440, 2, 297, 416)
(520, 33, 706, 235, 798, 803)
(740, 384, 32, 803, 2, 820)
(740, 390, 590, 32, 60, 201)
(740, 503, 235, 233, 2, 817)
(151, 740, 760, 892, 590, 850)
(740, 690, 435, 176, 233, 803)
(390, 95, 909, 5, 825, 776)
(740, 388, 807, 33, 706, 233)
(740, 406, 590, 741, 406, 125)
(204, 630, 233, 832, 904, 794)
(400, 921, 690, 435, 255, 55)
(740, 31, 504, 235, 60, 920)
(617, 142, 1, 595, 95, 717)
(405, 32, 900, 3, 70, 2)
(151, 390, 590, 741, 60, 920)
(740, 760, 335, 2, 33, 705)
(422, 3, 900, 740, 690, 435)
(154, 806, 467, 1, 2, 817)
(90, 740, 220, 742, 534, 550)
(740, 140, 717, 2, 298, 741)
(416, 1, 520, 240, 806, 2)
(407, 321, 407, 845, 33, 705)
(400, 592, 140, 3, 900, 692)
(151, 390, 590, 2, 374, 840)
(740, 760, 33, 706, 233, 803)
(161, 55, 240, 220, 32, 2)
(520, 233, 2, 861, 831, 165)
(740, 798, 220, 415, 741, 72)
(232, 220, 32, 2, 168, 32)
(317, 740, 335, 740, 176, 2)
(226, 32, 798, 742, 60, 920)
