(405, 18, 1, 220, 786)
(367, 390, 709, 2, 861)
(740, 794, 630, 220, 32)
(520, 233, 2, 861, 831)
(740, 798, 803, 2, 390)
(226, 32, 798, 742, 60)
(740, 798, 3, 2, 416)
(740, 222, 2, 207, 550)
(32, 316, 33, 705, 233)
(740, 100, 240, 741, 702)
(740, 923, 240, 235, 60)
(90, 740, 220, 235, 853)
(400, 740, 920, 320, 220)
(740, 585, 231, 240, 60)
(226, 803, 2, 220, 455)
(140, 165, 740, 176, 220)
(405, 61, 33, 706, 794)
(740, 798, 460, 350, 742)
(892, 890, 417, 2, 56)
(617, 142, 1, 368, 861)
(740, 67, 741, 647, 892)
(400, 97, 700, 4, 114)
(520, 220, 415, 240, 803)
(400, 90, 740, 32, 840)
(90, 740, 32, 840, 741)
(892, 590, 894, 140, 545)
(740, 565, 233, 2, 940)
(384, 892, 706, 717, 2)
(400, 740, 840, 13, 240)
(740, 770, 235, 2, 817)
(860, 520, 231, 803, 1)
(617, 142, 597, 32, 904)
(740, 94, 220, 32, 2)
(226, 415, 2, 269, 751)
(740, 483, 233, 235, 55)
(740, 626, 176, 33, 705)
(407, 5, 1, 746, 740)
(400, 520, 33, 705, 233)
(700, 740, 702, 61, 2)
(842, 871, 192, 740, 482)
(390, 718, 790, 2, 861)
(740, 390, 590, 32, 741)
(740, 773, 2, 900, 3)
(407, 61, 740, 923, 233)
(382, 760, 382, 2, 820)
(740, 7, 503, 626, 484)
(740, 338, 605, 176, 1)
(740, 772, 240, 60, 415)
(407, 845, 140, 740, 233)
(520, 95, 33, 706, 240)
(740, 405, 590, 220, 235)
(504, 350, 741, 60, 920)
(97, 159, 33, 705, 717)
(740, 100, 415, 741, 60)
(622, 740, 368, 861, 820)
(740, 585, 240, 220, 32)
(740, 575, 17, 31, 741)
(617, 142, 1, 407, 371)
(400, 921, 690, 435, 255)
(740, 337, 484, 31, 60)
(740, 32, 840, 233, 220)
(415, 798, 2, 354, 4)
(791, 575, 413, 222, 176)
(740, 100, 415, 2, 130)
(151, 740, 760, 892, 590)
(740, 923, 406, 61, 70)
(740, 100, 176, 2, 861)
(423, 3, 1, 900, 740)
(520, 33, 705, 60, 820)
(740, 923, 803, 741, 500)
(740, 176, 390, 90, 390)
(617, 142, 1, 595, 90)
(151, 390, 590, 741, 330)
(605, 740, 142, 67, 374)
(740, 773, 240, 2, 861)
(390, 844, 140, 176, 803)
(167, 705, 368, 5, 741)
(161, 233, 220, 32, 741)
(740, 615, 495, 240, 2)
(740, 390, 590, 233, 220)
(429, 3, 741, 60, 920)
(400, 740, 904, 798, 460)
(861, 892, 692, 2, 824)
(400, 740, 760, 32, 33)
(390, 4, 2, 705, 127)
(520, 33, 705, 231, 60)
(400, 740, 798, 365, 415)
(740, 910, 1, 740, 622)
(409, 32, 845, 33, 705)
(740, 798, 240, 60, 111)
(405, 240, 740, 176, 2)
(151, 337, 484, 2, 390)
(520, 33, 706, 240, 233)
(740, 904, 32, 233, 803)
(390, 4, 2, 390, 125)
(390, 128, 701, 226, 32)
(842, 535, 99, 740, 483)
(740, 100, 415, 176, 2)
(700, 32, 690, 365, 817)
(151, 243, 31, 2, 820)
(820, 595, 32, 115, 550)
(740, 575, 17, 220, 415)
(740, 390, 590, 70, 32)
(390, 17, 741, 60, 920)
(842, 391, 297, 705, 717)
(740, 55, 240, 235, 806)
(520, 33, 706, 220, 415)
(740, 798, 233, 741, 175)
(244, 740, 879, 220, 416)
(520, 220, 31, 1, 706)
(740, 482, 803, 745, 450)
(400, 90, 740, 35, 171)
(130, 32, 130, 32, 820)
(241, 803, 2, 850, 493)
(740, 630, 240, 33, 171)
(740, 752, 175, 2, 861)
(151, 240, 235, 741, 892)
(740, 100, 176, 840, 13)
(405, 32, 900, 3, 70)
(874, 543, 520, 1, 741)
(520, 233, 240, 803, 2)
(740, 923, 741, 390, 590)
(700, 740, 690, 436, 954)
(740, 690, 435, 255, 803)
(740, 920, 320, 233, 1)
(740, 760, 440, 240, 220)
(527, 554, 298, 368, 634)
(520, 235, 803, 2, 817)
(865, 685, 32, 741, 390)
(740, 585, 900, 2, 2)
(679, 740, 575, 17, 798)
(740, 269, 511, 60, 690)
(241, 803, 2, 850, 491)
(740, 798, 235, 1, 368)
(151, 390, 590, 741, 60)
(740, 690, 435, 255, 231)
(740, 760, 70, 921, 460)
(740, 405, 590, 220, 3)
(90, 740, 103, 2, 861)
(740, 222, 235, 2, 820)
(257, 955, 32, 578, 415)
(411, 440, 236, 220, 741)
(90, 740, 220, 2, 368)
(740, 176, 220, 415, 798)
(400, 740, 636, 240, 31)
(740, 927, 32, 741, 208)
(324, 255, 1, 405, 16)
(550, 740, 220, 60, 297)
(740, 760, 615, 503, 2)
(740, 100, 176, 838, 1)
(527, 550, 33, 706, 220)
(817, 521, 90, 740, 221)
(817, 220, 632, 66, 740)
(90, 740, 400, 350, 31)
(740, 900, 5, 741, 390)
(740, 142, 61, 31, 741)
(740, 388, 807, 33, 705)
(740, 798, 460, 350, 741)
(740, 585, 17, 740, 240)
(390, 717, 61, 2, 368)
