(856, 260, 832, 390, 590, 2, 817, 690)
(740, 794, 630, 220, 32, 2, 368, 906)
(740, 405, 590, 220, 235, 803, 2, 388)
(409, 32, 845, 33, 705, 231, 806, 2)
(740, 920, 320, 233, 240, 1, 2, 817)
(400, 595, 420, 125, 32, 820, 920, 140)
(740, 920, 320, 233, 806, 2, 405, 321)
(298, 465, 33, 705, 231, 2, 564, 617)
(740, 585, 17, 33, 706, 803, 2, 220)
(97, 159, 33, 740, 717, 220, 415, 806)
(842, 871, 192, 368, 482, 60, 692, 520)
(740, 407, 590, 31, 752, 33, 705, 220)
(740, 904, 32, 220, 415, 235, 803, 2)
(740, 585, 17, 240, 2, 305, 32, 904)
(842, 535, 99, 740, 483, 60, 692, 520)
(832, 904, 740, 444, 388, 233, 798, 806)
(409, 61, 740, 235, 220, 31, 2, 861)
(920, 706, 193, 384, 32, 920, 140, 902)
(407, 61, 740, 923, 233, 806, 60, 692)
(90, 740, 220, 55, 1, 740, 500, 705)
(740, 636, 240, 233, 235, 2, 405, 125)
(527, 550, 33, 705, 233, 415, 60, 550)
(527, 388, 233, 740, 176, 2, 861, 392)
(740, 176, 690, 435, 255, 220, 32, 806)
(350, 1, 740, 362, 692, 32, 2, 861)
(817, 521, 90, 740, 221, 2, 31, 500)
(605, 740, 142, 67, 374, 310, 350, 495)
(520, 33, 705, 220, 803, 55, 2, 820)
(520, 33, 705, 233, 240, 2, 610, 125)
(679, 740, 575, 17, 240, 806, 2, 540)
(740, 32, 840, 233, 220, 32, 60, 825)
(679, 740, 220, 32, 806, 1, 595, 575)
(740, 690, 435, 255, 240, 220, 415, 806)
(450, 617, 33, 460, 510, 741, 252, 791)
(740, 760, 70, 921, 460, 503, 2, 817)
(354, 1, 740, 405, 590, 33, 706, 2)
(740, 585, 17, 33, 705, 240, 798, 2)
(520, 33, 706, 240, 220, 32, 368, 263)
(740, 923, 70, 32, 33, 706, 231, 242)
(740, 760, 175, 176, 220, 415, 798, 2)
(740, 690, 435, 255, 220, 32, 2, 717)
(215, 1, 480, 306, 813, 33, 60, 413)
(520, 382, 32, 2, 820, 1, 440, 12)
(892, 70, 590, 495, 520, 231, 368, 861)
(740, 460, 510, 235, 220, 32, 2, 861)
(871, 740, 637, 798, 460, 350, 2, 374)
(817, 220, 632, 66, 740, 760, 26, 60)
(740, 877, 32, 235, 60, 550, 611, 840)
(407, 845, 140, 740, 101, 923, 240, 2)
(740, 877, 32, 33, 705, 231, 235, 2)
(740, 390, 590, 220, 3, 60, 840, 416)
(842, 374, 125, 803, 60, 692, 740, 690)
(527, 550, 240, 220, 32, 2, 300, 350)
(740, 900, 3, 806, 33, 705, 235, 55)
(416, 1, 565, 740, 220, 32, 2, 856)
(605, 740, 142, 2, 374, 310, 350, 495)
(527, 555, 55, 233, 235, 741, 831, 518)
(817, 740, 194, 760, 1, 741, 390, 32)
(842, 374, 740, 803, 60, 692, 740, 690)
(740, 100, 176, 838, 1, 220, 455, 530)
(892, 374, 740, 760, 840, 416, 2, 861)
(90, 740, 35, 171, 61, 31, 2, 69)
(390, 95, 909, 5, 825, 776, 220, 16)
(390, 844, 140, 176, 803, 2, 301, 190)
(740, 405, 590, 32, 900, 3, 806, 235)
(565, 740, 798, 235, 233, 1, 2, 269)
(390, 128, 701, 226, 32, 2, 1, 480)
(97, 159, 33, 705, 717, 220, 415, 806)
(90, 740, 220, 55, 1, 741, 500, 705)
(740, 55, 240, 235, 806, 2, 220, 455)
(527, 550, 240, 220, 255, 812, 906, 388)
(904, 4, 821, 1, 480, 850, 595, 391)
(406, 371, 220, 415, 803, 742, 920, 320)
(740, 100, 415, 798, 460, 350, 2, 817)
(520, 33, 706, 235, 798, 803, 2, 31)
(842, 535, 99, 4, 483, 60, 692, 520)
(871, 400, 740, 543, 350, 895, 785, 220)
(798, 821, 1, 480, 850, 820, 388, 611)
(679, 740, 220, 415, 1, 820, 812, 820)
(405, 61, 527, 555, 233, 235, 806, 2)
(740, 390, 590, 904, 220, 32, 803, 1)
(740, 760, 33, 33, 220, 415, 798, 2)
(740, 760, 33, 705, 803, 2, 920, 317)
(740, 390, 590, 233, 2, 368, 202, 892)
(740, 440, 220, 32, 741, 390, 590, 32)
(154, 806, 471, 407, 845, 740, 233, 231)
(817, 521, 521, 740, 221, 2, 31, 500)
(740, 100, 415, 904, 17, 32, 820, 740)
(450, 617, 740, 460, 510, 741, 252, 791)
(740, 407, 590, 690, 436, 255, 920, 318)
(740, 388, 807, 33, 706, 233, 235, 168)
(740, 690, 435, 255, 2, 368, 861, 590)
(215, 31, 480, 140, 632, 705, 2, 93)
(97, 520, 33, 740, 717, 220, 415, 806)
(740, 405, 590, 235, 2, 31, 480, 625)
(400, 740, 575, 17, 920, 320, 798, 2)
(400, 592, 140, 3, 900, 692, 3, 700)
(90, 740, 100, 415, 2, 31, 350, 550)
(520, 33, 705, 220, 231, 72, 2, 270)
(90, 326, 700, 920, 125, 1, 55, 920)
(740, 760, 615, 104, 717, 235, 2, 392)
(125, 435, 255, 2, 286, 220, 31, 12)
(405, 61, 33, 706, 794, 630, 220, 2)
(842, 871, 192, 740, 482, 60, 692, 520)
(390, 600, 617, 2, 190, 125, 632, 32)
(953, 817, 390, 125, 308, 809, 740, 760)
(740, 390, 590, 233, 220, 415, 798, 838)
(740, 400, 142, 61, 2, 798, 435, 255)
(740, 760, 70, 255, 832, 240, 2, 595)
(129, 817, 310, 350, 128, 857, 3, 388)
(740, 585, 17, 740, 240, 2, 817, 90)
(740, 482, 55, 240, 235, 745, 740, 590)
(405, 32, 900, 3, 70, 2, 233, 235)
(740, 390, 590, 231, 240, 235, 745, 60)
(817, 740, 740, 760, 1, 741, 390, 32)
(405, 845, 686, 740, 793, 3, 233, 805)
(740, 752, 6, 503, 236, 806, 2, 31)
(527, 555, 740, 55, 240, 415, 798, 60)
(921, 100, 415, 904, 17, 32, 820, 740)
(740, 729, 407, 845, 236, 2, 906, 125)
(520, 70, 219, 2, 861, 32, 520, 919)
(740, 100, 798, 220, 32, 2, 861, 255)
(405, 61, 70, 32, 33, 706, 235, 806)
(31, 850, 140, 236, 220, 32, 803, 2)
(416, 1, 520, 240, 806, 2, 502, 31)
(423, 3, 1, 900, 740, 690, 435, 255)
(97, 520, 33, 705, 717, 220, 415, 806)
(244, 165, 879, 220, 416, 803, 2, 861)
(3, 1, 520, 240, 806, 2, 502, 31)
(740, 798, 240, 235, 2, 220, 65, 215)
(740, 798, 460, 350, 235, 741, 390, 140)
(740, 773, 233, 2, 803, 320, 705, 125)
(871, 740, 740, 798, 460, 350, 2, 374)
(740, 760, 220, 16, 382, 741, 572, 683)
(740, 390, 590, 235, 2, 374, 309, 350)
(740, 482, 55, 220, 415, 798, 803, 742)
(244, 740, 879, 220, 416, 803, 2, 861)
(740, 617, 550, 61, 435, 93, 740, 100)
(740, 690, 435, 255, 240, 235, 745, 60)
(31, 840, 140, 740, 101, 2, 365, 287)
(520, 33, 705, 220, 32, 72, 2, 270)
(204, 630, 233, 832, 904, 794, 630, 235)
(33, 413, 893, 405, 90, 405, 326, 920)
(740, 690, 435, 255, 220, 32, 240, 235)
(740, 585, 17, 33, 705, 233, 798, 803)
(368, 501, 706, 1, 480, 850, 595, 391)
(407, 845, 140, 740, 233, 240, 798, 365)
(32, 316, 33, 705, 233, 1, 920, 374)
(90, 740, 220, 16, 2, 297, 190, 900)
(740, 773, 33, 705, 233, 803, 2, 861)
(740, 690, 435, 255, 803, 220, 240, 235)
(368, 501, 821, 1, 480, 850, 595, 391)
(520, 72, 233, 740, 798, 2, 861, 832)
(953, 817, 390, 125, 308, 809, 33, 760)
(151, 337, 484, 2, 390, 125, 632, 32)
(740, 443, 388, 33, 705, 233, 2, 817)
(390, 128, 701, 2, 32, 2, 1, 480)
(740, 100, 806, 472, 240, 806, 1, 820)
(317, 740, 335, 740, 176, 2, 920, 491)
(740, 923, 406, 61, 70, 32, 741, 861)
(871, 947, 740, 543, 350, 895, 785, 220)
(520, 70, 220, 32, 240, 838, 741, 958)
